business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
H5cH1BbNfP5YEkytAQaYrg,McDonald's,17056 90th Ave,Edmonton,AB,T5T 1L6,53.5253414,-113.6174772,1.5,11,1,"{'RestaurantsTakeOut': 'True', 'RestaurantsReservations': 'False', 'GoodForKids': 'True', 'WiFi': ""u'free'"", 'OutdoorSeating': 'False', 'Caters': 'False', 'RestaurantsPriceRange2': '1', 'NoiseLevel': ""u'average'"", 'RestaurantsGoodForGroups': 'True', 'Alcohol': ""u'none'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsAttire': ""u'casual'"", 'HasTV': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'True'}","Restaurants, Food, Coffee & Tea, Fast Food, Burgers","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
WzWBfCHurRUGpQuXkMnfow,Copa Cabana,8230 Gateway Boulevard,Edmonton,AB,T6E,53.5188479,-113.495416,2.0,5,0,"{'NoiseLevel': ""u'loud'"", 'RestaurantsDelivery': 'False', 'GoodForKids': 'False', 'Alcohol': ""u'full_bar'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsPriceRange2': '3', 'HasTV': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'OutdoorSeating': 'False'}","Latin American, Restaurants, Mexican",
pPe3lGGDgrghGbSPqUtKJw,Burger King,17215 Stony Plain Road NW,Edmonton,AB,T5S 2N2,53.5409157,-113.6187884,2.0,11,1,"{'GoodForKids': 'True', 'RestaurantsReservations': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsGoodForGroups': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'NoiseLevel': ""u'quiet'"", 'RestaurantsAttire': ""'casual'"", 'HasTV': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsDelivery': 'True', 'RestaurantsPriceRange2': '2'}","Restaurants, Fast Food",
0wURO6m9nmBXXBpuqmlobA,Dairy Queen,6104 Terrace Rd,Edmonton,AB,T6A 3Z1,53.5402325,-113.4265355,2.0,12,1,"{'RestaurantsGoodForGroups': 'True', 'RestaurantsAttire': ""'casual'"", 'GoodForKids': 'True', 'BikeParking': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsReservations': 'False', 'RestaurantsPriceRange2': '1', 'WiFi': ""'no'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'NoiseLevel': ""'quiet'"", 'OutdoorSeating': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'DriveThru': 'True', 'Alcohol': ""'none'"", 'RestaurantsTableService': 'False', 'RestaurantsDelivery': 'True', 'HasTV': 'True'}","Ice Cream & Frozen Yogurt, Restaurants, Food, Fast Food","{'Monday': '10:30-22:0', 'Tuesday': '10:30-22:0', 'Wednesday': '10:30-22:0', 'Thursday': '10:30-22:0', 'Friday': '10:30-22:0', 'Saturday': '10:30-22:0', 'Sunday': '11:0-22:0'}"
A3FD_WGaUBASqbR8ID6ZUA,Subway,"Hollick Kenyon Landing, 5237 - 167 Ave NW",Edmonton,AB,T5Y 0L2,53.6273860745,-113.4160065651,2.0,5,1,"{'RestaurantsDelivery': 'False', 'RestaurantsTakeOut': 'True', 'GoodForKids': 'True', 'NoiseLevel': ""u'average'"", 'WiFi': ""u'free'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}""}","Sandwiches, Restaurants, Food, Fast Food","{'Monday': '7:0-22:0', 'Tuesday': '7:0-22:0', 'Wednesday': '7:0-22:0', 'Thursday': '7:0-22:0', 'Friday': '7:0-22:0', 'Saturday': '9:0-22:0', 'Sunday': '9:0-22:0'}"
R4XWS6vw26iZ5fKanpxIWA,Safeway,10930 82 Avenue NW,Edmonton,AB,T6G 0S8,53.5187803,-113.5136245,2.0,18,1,"{'BikeParking': 'True', 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsTakeOut': 'True'}","Food, Grocery","{'Monday': '8:0-22:0', 'Tuesday': '8:0-22:0', 'Wednesday': '8:0-22:0', 'Thursday': '8:0-22:0', 'Friday': '8:0-22:0', 'Saturday': '8:0-22:0', 'Sunday': '8:0-22:0'}"
2OiPkvrsfVkZHgcR-pIhrA,South St. Burger,"11988-104 Avenue, Building 4",Edmonton,AB,T5K 2G2,53.5462550914,-113.5307665542,2.5,11,0,"{'GoodForKids': 'True', 'BikeParking': 'True', 'RestaurantsReservations': 'False', 'RestaurantsDelivery': 'False', 'OutdoorSeating': 'False'}","Restaurants, Burgers","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}"
PtEpOKzGAdexlPeGCC3qsA,Filipino and Pho 97 Restaurant,12913 - 97 Street,Edmonton,AB,T5E 4C2,53.587954,-113.491382,2.5,7,0,"{'GoodForKids': 'True', 'RestaurantsPriceRange2': '2', 'HasTV': 'True', 'RestaurantsAttire': ""'casual'"", 'WiFi': ""u'free'"", 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'BikeParking': 'False', 'Caters': 'True', 'OutdoorSeating': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsReservations': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsTakeOut': 'True', 'Alcohol': ""u'none'""}","Vietnamese, Restaurants, Filipino","{'Monday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-20:0'}"
qwxra0N2Tt3GWtMkDCAXwg,Tacos La Mexicana,8123 104 St,Edmonton,AB,T6E 4E4,53.5175465,-113.497651,2.5,28,0,"{'NoiseLevel': ""u'loud'"", 'RestaurantsDelivery': 'False', 'OutdoorSeating': 'False', 'GoodForKids': 'True', 'HasTV': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsGoodForGroups': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'WiFi': ""u'no'"", 'Caters': 'False', 'RestaurantsAttire': ""u'casual'"", 'Alcohol': ""u'none'"", 'RestaurantsReservations': 'False', 'RestaurantsPriceRange2': '1', 'BikeParking': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}""}","Restaurants, Mexican",
LWxplpZ01XtgpkSBSicNCQ,Tim Hortons,2309 Rabbit Hill Road NW,Edmonton,AB,T6R 3L6,53.454541,-113.5644775,2.5,10,1,"{'RestaurantsPriceRange2': '1', 'HasTV': 'True', 'RestaurantsAttire': ""'casual'"", 'WiFi': ""'free'"", 'RestaurantsDelivery': 'False', 'RestaurantsReservations': 'False', 'RestaurantsGoodForGroups': 'True', 'GoodForKids': 'True', 'BikeParking': 'True', 'OutdoorSeating': 'False', 'RestaurantsTakeOut': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}""}","Restaurants, Sandwiches, Delis, Food, Coffee & Tea",
