user_id,business_id,text,date,compliment_count
VWJ8PSz6Sg5_AlBvQyGvpw,PcX8zGIJ_XHTAQAcEOwhLw,"Nice resort, right by the powder white beach!",2013-06-14 22:54:16,0
wnrHhjDpQk5uLUK7Iku75A,PGd06nrseC2YAIqP6S9gUA,delicious bloody Mary's!,2015-01-18 16:45:31,0
YrDbyRFyan6nx5aXb_N8Hg,fCDMLD21ypv1XZ_EyafCkQ,Delicious Vegetarian pressed Cuban sandwich!,2013-06-07 23:01:07,0
0LY6l9-Z2IrVtnfj6OX06w,Zmwm6d872C8kWJr4b6UGfg,Great tasty food,2018-04-01 00:10:00,0
ojb3bh9erj8OsjImzZwf9w,vEdNsFx-ozYFNxR9XZQ5AA,Khole suggested the mac and cheese and it was amazing! Def will be back!,2017-05-13 00:39:20,0
H5Sl8mMEWrrh6oXgm2zIiQ,DUQ1j7zagtoXFhwutDwX9Q,"If it is past 3:00pm and you need a quick snack, give them a call. He may be cleaning up and able to let you grab a snack/drink",2016-01-18 19:41:29,0
J4ywgQmEehzaBl5F2DTmiA,Bb5YSi_C9p4Sp6eD4ZCSVQ,Cool little place with great pizza and service. The Sonoran pizza was excellent.,2016-04-24 16:03:32,0
3QnoTcrxuafMCoTzW_AH7A,V9VLhHdSFpFi4yXFqVcVEA,"Best beets I've EVER had!! Not too ""dirty"". Citrus marinated with almonds!",2018-03-18 22:14:09,0
EtX1yXNhGXOC9q9SVyK-nw,Ul3hhOASszHUVxeN95XVNQ,The fondue is amazing and makes such special event!,2016-04-26 03:45:19,0
mVA4IeYyVKPUWRrN5oplMA,u1uWs6f1NN_jMVIN-r-E-w,Lobster ravioli is excellent!!,2013-02-08 01:00:50,0
CsVpAEIpymc2grb9i521uA,6dDC5PSmPEoJYuM8r8dN_A,Healthy affordable Breakfast,2011-07-28 16:20:30,0
rBeKFxV0PJ-wXMjaEa8G5A,HXGaZ0lcx_MSyku18pYa5w,Check out the Growler and Tasting Bar at the very back of the store! They also have some very unique and cool growlers to purchase.,2017-11-30 17:27:04,0
WFP-b1Aep71xjS3TiGEC2Q,6ewV-e7-39oqYUq3yZuIyw,Spicy tofu = AMAZING. Pancakes are nothing special - dont get them,2015-09-07 19:02:08,0
8WWtZ-EEKBWiElYEZLaOmA,EIeDtIG5WoD9Fv2ppF3Y-A,Turkey club gyro with pasta salad. The bacon and pesto mayo combination is remarkable.,2013-03-02 19:39:23,0
KAzW8R2T9IATfCg4g98RKg,NnlXgLZ93KPj1wYSiqjyIg,great basic menu choice cooked to perfection. the mushroom chops are awesome,2014-06-14 18:07:41,0
54XGIJbMSzRKAKjU5uVk-Q,TqgsB91kKWjU4aKGR4GCgQ,Great menu and low prices,2014-08-24 00:04:33,0
